,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140,Var141,Var142,Var143,Var144,Var145,Var146,Var147,Var148,Var149,Var150,Var151,Var152,Var153,Var154,Var155,Var156,Var157,Var158,Var159,Var160,Var161,Var162,Var163,Var164,Var165,Var166,Var167,Var168,Var169,Var170,Var171,Var172,Var173,Var174,Var175,Var176,Var177,Var178,Var179,Var180,Var181,Var182,Var183,Var184,Var185,Var186,Var187,Var188,Var189,Var190,Var191,Var192,Var193,Var194,Var195,Var196,Var197,Var198,Var199,Var200,Var201,Var202,Var203,Var204,Var205,Var206,Var207,Var208,Var209,Var210,Var211,Var212,Var213,Var214,Var215,Var216,Var217,Var218,Var219,Var220,Var221,Var222,Var223,Var224,Var225,Var226,Var227,Var228,Var229,Var230,target
16453,,,,,,1008.0,7.0,,,,,,2592.0,,,,,,,,420.0,525.0,,2.0,120.0,,,255.68,,,,,,,0.0,,,3372390.0,,,,,,0.0,,,,,,,,,,,,,4.725486,,,,,,,,9.0,,,,,,,3.0,112,623.0,,966656.0,,0.0,,,140513.7,,105.0,,12.0,,,,,,,,,582.0,,,,,,,,,,,,,,,168.0,,,64.0,22455.56,,,,,,1095.0,,,,216.0,,56601.0,-24.0,,,,,,0.0,3496590.0,255020.0,,,,,,1300.0,,,0.0,9.0,,,,,173068.0,,,,8393200.0,,,,,,,38.0,,,680724.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,198.0,,,dRaq9ayE15,2Knk1KF,,LfvqpCtLOY,1K8T,TyGl,47W4ewH,lnG_TsC,,,CpYR,9_Y1,000J,sJzTlal,haYg,me75fM6ugJ,kIsH,,uKAI,Mtgm,XfqtO3UdzaXh_,,,,11p4mKe,wdl3,cJvF,qxDb,Eu2Ow16,oslk,TRNQv5o,M_8D,,,7P5s,RAYp,55YFVY9,am7c,,-1
12462,,,,,,1127.0,0.0,,,,,,0.0,,,,,,,,496.0,620.0,,2.0,232.0,,,166.56,,,,,,,0.0,,,1368.0,,,,,,0.0,,,,,,,,,,,,,0.6423841,,,,,,,,9.0,,,,,,,3.0,28,0.0,,383232.0,,0.0,,,2793.882,,0.0,,22.0,,,,,,,,,31431.0,,,,,,,,,,,,,,,104.0,,,288.0,-167040.0,,,,,,1465.0,,,,6.0,,0.0,4.0,,,,,,0.0,451840.0,33264.0,,,,,,0.0,,,0.0,0.0,,,,,22141.0,,,,650956.0,,,,,,,94.0,,,45642.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,1YVvyx7IEC,RO12,,taul,1K8T,dWQK,ml5cNhj,dkv06qE,,,FV1N,9_Y1,RcM7,09_Q,IYzP,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,,,uZL60aU,_Fyk,cJvF,FzaX,XbZfrxM,oslk,QfJz_Kt,LM8l689qOp,,,szEZ,RAYp,F2FyR07IdsN7I,,,-1
31090,,,,,,700.0,7.0,,,,,,3320.0,,,,,,,,96.0,120.0,,0.0,56.0,,,220.08,,,,,,,0.0,,,3975012.0,,,,,,0.0,,,,,,,,,,,,,2.80517,,,,,,,,9.0,,,,,,,,82,504.0,,0.0,,0.0,,,189986.4,,15.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,0.0,-401284.0,,,,,,630.0,,,,48.0,,10224.0,,,,,,,0.0,242160.0,1209600.0,,,,,,635.0,,,0.0,0.0,,,,,0.0,,,,7534400.0,,,,,,,4.0,,,2073600.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,306.0,,,bt0mfo875g,RO12,SEuy,taul,1K8T,42Cy,9GJGgoz,wHfQYg4FYPyudCQ6,orFnn49,smXZ,pGJd,9_Y1,_48V,VpdQ,IYzP,Kxdu,kIsH,,uKAI,L84s,FMSzZ91zL2,,_VlFJCi,,NGZkjXV,maOL,cJvF,FzaX,Tvpip6Z,zCkv,hHJsvbM,M_8D,,xG3x,3Cy4,6fzt,SbOd7O8ky1wGNxp0Arj0Xs,mj86,,-1
6268,,,,,,994.0,7.0,,,,,,1460.0,,,,,,,,136.0,170.0,,4.0,32.0,,,186.64,,,,,,,0.0,,,2919786.0,,,,,,0.0,,,,,,,,,,,,,4.844905,,,,,,,,9.0,,,,,,,,134,56.0,,2606344.0,,0.0,,,113121.0,,10.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,48.0,104389.2,,,,,,515.0,,,,36.0,,95427.0,,,,,,,0.0,5747500.0,457174.0,,,,,,5430.0,,,0.0,27.0,,,,,689283.0,,,,10144480.0,,,,,,,28.0,,,1036800.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,216.0,,,IXSgUHShse,2Knk1KF,SEuy,taul,1K8T,lK27,GQpJsEU,bGUqwlz,jx2zCb4,smXZ,85IW,9_Y1,RVjC,VpdQ,Tkho,7M47J5GA0pTYIFxg5uy,kIsH,,uKAI,L84s,NhsEn4L,,H0A7vpC,,beK4AFX,ETNp,UYBR,FzaX,kTkvdH_,oslk,xT679_c,LM8l689qOp,,kG3k,FSa2,RAYp,55YFVY9,mj86,,-1
2234,,,,,,2184.0,14.0,,,,,,3148.0,,,,,,,,160.0,200.0,,6.0,32.0,,,133.12,,,,,,,0.0,,,3426.0,,,,,,0.0,,,,,,,,,,,,,6.970519,,,,,,,,27.0,,,,,,,3.0,100,770.0,,2727432.0,,0.0,,,32346.3,,5.0,,4.0,,,,,,,,,897.0,,,,,,,,,,,,,,,56.0,,,64.0,-8543.72,,,,,,685.0,,,,6.0,,33498.0,,,,,,,0.0,5686850.0,80132.0,,,,,,2610.0,,,0.0,27.0,,,,,856800.0,,,,6255800.0,,,,,,,48.0,,,235566.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,EsYrjIX0Db,RO12,SEuy,taul,1K8T,dTod,iJzviRg,jt3AmzI_cx6jY,UjrBkSm,smXZ,ZBNx,9_Y1,xQ2A,09_Q,wMei,7M47J5GA0pTYIFxg5uy,kIsH,,uKAI,L84s,4kVnq_T26xq1p,,aE3jR1Z,,y5FCXwd,gvA6,UYBR,FzaX,ch2oGfM,zCkv,P6pu4Vl,LM8l689qOp,,kG3k,5Acm,ZI9m,R4y5gQQWY8OodqDV,am7c,,-1
35138,,,,,,1106.0,7.0,,,,,,3716.0,,,,,,,,188.0,235.0,,0.0,8.0,,,220.48,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,3.745995,,,,,,,,45.0,,,,,,,3.0,120,35.0,,2811384.0,,0.0,,,68865.91,,0.0,,10.0,,,,,,,,,102117.0,,,,,,,,,,,,,,,32.0,,,120.0,-137340.0,,,,,,620.0,,,,0.0,,12456.0,,,,,,,0.0,4107610.0,4678.0,,,,,,295.0,,,0.0,27.0,,,,,0.0,,,,4805160.0,,,,,,,52.0,,,156054.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,282.0,,,ZSNq9atbb6,2Knk1KF,,taul,1K8T,72yt,WkH7nZN,ELRUn57,Uw69wLk,,kiGu,9_Y1,KfYH,VpdQ,6JmL,me75fM6ugJ,kIsH,,g5HH,L84s,XfqtO3UdzaXh_,,PXYAZJ3,,11p4mKe,,,FzaX,scZ0Q3K,oslk,zmvzrB7,LM8l689qOp,,,me1d,RAYp,55YFVY9,am7c,,-1
34848,,,,,,168.0,0.0,,,,,,0.0,,,,,,,,140.0,175.0,,2.0,56.0,,,166.56,,,,,,,0.0,,,18678.0,,,,,,0.0,,,,,,,,,,,,,2.923521,,,,,,,,9.0,,,,,,,3.0,18,0.0,,786880.0,,0.0,,,71245.8,,0.0,,12.0,,,,,,,,,216.0,,,,,,,,,,,,,,,40.0,,,24.0,80283.6,,,,,,470.0,,,,6.0,,0.0,4.0,,,,,,0.0,2854800.0,149746.0,,,,,,0.0,,,0.0,9.0,,,,,84630.0,,,,3173664.0,,,,,,,36.0,,,276660.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,150.0,,,1JGqrQKzJV,RO12,,taul,1K8T,0Y9G,zg_pBTu,h0frVuP,,,Gt1c,9_Y1,15m3,sJzTlal,zm5i,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,,,mAja5EA,WFD8,UYBR,FzaX,bZhDGHt,oslk,IWyDN1n,LM8l689qOp,,,FSa2,RAYp,F2FyR07IdsN7I,,,-1
15573,,,,,,455.0,7.0,,,,,,140.0,,,,,,,,104.0,130.0,,0.0,48.0,,,133.12,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,4.5768,,,,,,,,18.0,,,,,,,3.0,128,0.0,,190752.0,,0.0,,,7454.67,,0.0,,4.0,,,,,,,,,16350.0,,,,,,,,,,,,,,,40.0,,,96.0,-182436.4,,,,,,240.0,,,,0.0,,2997.0,,,,,,,0.0,91515.0,42450.0,,,,,,390.0,,,0.0,9.0,,,,,0.0,,,,280032.0,,,,,,,12.0,,,39816.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,270.0,,,bt0mfo875g,2Knk1KF,,taul,1K8T,AKN1,H9TaVTy,767sa0XN9l,MZXYQg5,,gXqq,9_Y1,Ew1Q,09_Q,haYg,me75fM6ugJ,kIsH,,uKAI,L84s,XfqtO3UdzaXh_,,8YqNPoj,,XTbPUYD,dIWC,cJvF,FzaX,MKZfql_,oslk,3lfAGfT,LM8l689qOp,,ELof,wX53,RAYp,55YFVY9,am7c,,-1
6009,,,,,,588.0,0.0,,,,,,0.0,,,,,,,,172.0,215.0,,2.0,48.0,,,327.6,,,,,,,25.0,,,4888080.0,,,,,,0.0,,,,,,,,,,,,,5.178381,,,,,,,,9.0,,,,,,,,28,0.0,,1057424.0,,0.0,,,154767.0,,15.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,24.0,1198692.0,,,,,,930.0,,,,96.0,,0.0,-22.0,,,,,,40.0,4079645.0,636202.0,,,,,,0.0,,,0.0,18.0,,,,,554414.0,,,,9907600.0,,,,,,,26.0,,,950424.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,216.0,,,1JGTmBQZiT,RO12,,taul,1K8T,TyGl,_QtPU77,nQUBcBcErl,,,A3fL,9_Y1,TjV7,VpdQ,zm5i,me75fM6ugJ,kIsH,,uKAI,Mtgm,NhsEn4L,,,,NGZTwy6,TmFT,UYBR,FzaX,6VJ0Q3K,oslk,aLpRkup,LM8l689qOp,,,FSa2,RAYp,F2FyR07IdsN7I,,,-1
8388,,,,,,175.0,0.0,,,,,,0.0,,,,,,,,168.0,210.0,,0.0,88.0,,,291.12,,,,,,,0.0,,,2423934.0,,,,,,0.0,,,,,,,,,,,,,5.736809,,,,,,,,9.0,,,,,,,3.0,16,0.0,,1267272.0,,0.0,,,171593.7,,35.0,,4.0,,,,,,,,,197043.0,,,,,,,,,,,,,,,40.0,,,16.0,370886.0,,,,,,565.0,,,,48.0,,0.0,,,,,,,0.0,3310710.0,1288642.0,,,,,,0.0,,,0.0,0.0,,,,,0.0,,,,10237320.0,,,,,,,24.0,,,950448.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,204.0,,,HYTrjIK12c,RO12,,taul,z3mO,0Xwj,EnSNXZR,ayJD9Pu,,,8MF2,HLqf,7WNq,sJzTlal,IYzP,me75fM6ugJ,sBgB,,uKAI,L84s,NhsEn4L,,,,mAja5EA,,,FzaX,KnzzTww,oslk,EbgaySi,LM8l689qOp,,,WqMG,RAYp,F2FyR07IdsN7I,,,1
31737,,,,,,896.0,7.0,,,,,,104.0,,,,,,,,124.0,155.0,,0.0,0.0,,,290.8,,,,,,,0.0,,,2358336.0,,,,,,0.0,,,,,,,,,,,,,0.3336894,,,,,,,,9.0,,,,,,,3.0,118,0.0,,4147200.0,,0.0,,,140008.5,,10.0,,0.0,,,,,,,,,54936.0,,,,,,,,,,,,,,,32.0,,,48.0,57633.6,,,,,,535.0,,,,30.0,,52857.0,,,,,,,0.0,7776000.0,0.0,,,,,,655.0,,,0.0,27.0,,,,,0.0,,,,10557840.0,,,,,,,36.0,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,240.0,,,V8lt0G8rTN,RO12,,taul,1K8T,0Xwj,fhk21Ss,75H7ltG,DlItwUr,,rits,F3hy,k13i,VpdQ,haYg,7M47J5GA0pTYIFxg5uy,kIsH,,uKAI,L84s,4ylQpLr46xum2hHQ,,zfzyXKF,,7WwK5g3,1exj,UYBR,FzaX,4UxGlow,z4pH,catzS2D,LM8l689qOp,,ELof,fKCe,ZI9m,R4y5gQQWY8OodqDV,mj86,,1
24025,,,,,,833.0,0.0,,,,,,0.0,,,,,,,,148.0,185.0,,2.0,24.0,,,220.08,,,,,,,0.0,,,5983344.0,,,,,,0.0,,,,,,,,,,,,,2.784234,,,,,,,,9.0,,,,,,,,54,0.0,,1656624.0,,0.0,,,199329.6,,25.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,24.0,519728.0,,,,,,540.0,,,,90.0,,1260.0,,,,,,,0.0,3456000.0,253774.0,,,,,,0.0,,,0.0,0.0,,,,,239946.0,,,,10117560.0,,,,,,,16.0,,,534252.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,DQlgUH7IEC,RO12,,taul,1K8T,ekye,PAgnV1D,fo8oHA5,,,eEOk,9_Y1,DmlN,VpdQ,sYC_,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,,,kq0n8Bj,HkLHzB0,cJvF,qxDb,aR2NN3u,oslk,DpHynIC,jySVZNlOJy,,,w_Ub,RAYp,F2FyR07IdsN7I,mj86,,-1
